title,full_text,link,image
가을 컬렉션,가을 컬렉션,,https://image.thehyundai.com/dp/ModuBanner/hihi autumn_icon.gif?SF=webp&AO=1
추석 2026,추석 2026,,https://image.thehyundai.com/dp/ModuBanner/TH_Gift_feed.png?SF=webp&AO=1
현대식품관,현대식품관,,https://image.thehyundai.com/dp/ModuBanner/feed_ic_grocery.png?SF=webp&AO=1
컨템패션관,컨템패션관,,https://image.thehyundai.com/dp/ModuBanner/feed_ic_edit.png?SF=webp&AO=1
뷰티관,뷰티관,,https://image.thehyundai.com/dp/ModuBanner/feed_ic_beauty.png?SF=webp&AO=1
이머징관,이머징관,,https://image.thehyundai.com/dp/ModuBanner/feed_ic_attag(1).png?SF=webp&AO=1
리빙관,리빙관,,https://image.thehyundai.com/dp/ModuBanner/feed_ic_living.png?SF=webp&AO=1
키즈관,키즈관,,https://image.thehyundai.com/dp/ModuBanner/Kids_Home(1).png?SF=webp&AO=1
레저관,레저관,,https://image.thehyundai.com/dp/ModuBanner/active.png?SF=webp&AO=1
NEW 케어 크러쉬,"NEW 케어 크러쉬
메종마르지엘라 퍼퓸
파이널 세일
웰니스관 OPEN
R2W 40% 할인🚨
아식스 노바블라스트
시슬리 사전판매
앳킨슨 향수 기획전
부가부 베이비페어
HiHi 가을컬렉션
새로운 맛의 발견
용감한 쿠키RUN in 서울
추석 2026
라이엇 스토어",,https://image.thehyundai.com/dp/psm/2026/08/18/085944/홈피드 아이콘키워드 배너.jpg?SF=webp&AO=1
모델 송경아,"모델 송경아
모델 스테파니 미초바
공간 디자이너 종킴
패션 에디터 오유라
서퍼 김하정
뮤직비디오 감독 김용수
칼럼니스트 김도훈
패션 모델 젤라비
요가 코치 아키바 리에
브랜드 디렉터 유혜영
브랜드 디렉터 정재인
셰프 최강호
시인 이우성",,https://image.thehyundai.com/dp/ModuBanner/송경아 (8) 1.png?SF=webp&AO=1
