title,full_text,link,image
YUNJAC,"YUNJAC
연작
브랜드데이
단 하루, 최대 20% 할인 + 디럭스 기프트
자세히 보기",,https://image.shinsegaev.com/upload/C00001/s3/dspl/banner/1010/250/00/260600000737250_20260624160442.jpg?RS=1920&SP=1
"연작
브랜드데이","연작
브랜드데이",,
"단 하루, 최대 20% 할인 + 디럭스 기프트","단 하루, 최대 20% 할인 + 디럭스 기프트",,
자세히 보기,자세히 보기,javascript:void(0);,
DEW E DEW E,"DEW E DEW E
듀이듀이
브랜드데이
단 하루, 최대 50% 할인 + 25% 쿠폰
자세히 보기",,https://image.shinsegaev.com/upload/C00001/s3/dspl/banner/1010/826/00/260600000736826_20260624094527.jpg?RS=1920&SP=1
"듀이듀이
브랜드데이","듀이듀이
브랜드데이",,
"단 하루, 최대 50% 할인 + 25% 쿠폰","단 하루, 최대 50% 할인 + 25% 쿠폰",,
"상반기 베스트
아이템 공개
최대 70% 할인 + 최대 10% 쿠폰팩
자세히 보기","상반기 베스트
아이템 공개
최대 70% 할인 + 최대 10% 쿠폰팩
자세히 보기",,https://image.shinsegaev.com/upload/C00001/s3/dspl/banner/8910/392/10/260600000736392_20260623084843.jpg?RS=1920&SP=1
"상반기 베스트
아이템 공개
최대 70% 할인 + 최대 10% 쿠폰팩","상반기 베스트
아이템 공개
최대 70% 할인 + 최대 10% 쿠폰팩",javascript:void(0);,
"상반기 베스트
아이템 공개","상반기 베스트
아이템 공개",,
최대 70% 할인 + 최대 10% 쿠폰팩,최대 70% 할인 + 최대 10% 쿠폰팩,,
ALEXANDERWANG & more,"ALEXANDERWANG & more
컨템포러리
베스트 셀렉션
컨템포러리 패션&어그, 상반기 베스트
자세히 보기",,https://image.shinsegaev.com/upload/C00001/s3/dspl/banner/1010/484/00/260600000734484_20260619161840.png?cVer=19041840&RS=1920&SP=1
"컨템포러리
베스트 셀렉션","컨템포러리
베스트 셀렉션",,
"컨템포러리 패션&어그, 상반기 베스트","컨템포러리 패션&어그, 상반기 베스트",,
LEVI`S & more,"LEVI`S & more
새로운 취향과
마주할 시간
취향의 발견, 베스트&라이징 아이템
자세히 보기",,https://image.shinsegaev.com/upload/C00001/s3/dspl/banner/1010/510/00/260600000736510_20260623134237.jpg?RS=1920&SP=1
"새로운 취향과
마주할 시간","새로운 취향과
마주할 시간",,
"취향의 발견, 베스트&라이징 아이템","취향의 발견, 베스트&라이징 아이템",,
DIPTYQUE & more,"DIPTYQUE & more
신세계V 뷰티
상반기 베스트 어워즈
~60% 특가 + ~10% 쇼핑백쿠폰 + 디럭스 사은품
자세히 보기",,https://image.shinsegaev.com/upload/C00001/s3/dspl/banner/1010/287/00/260600000735287_20260617160849.jpg?cVer=22091420&RS=1920&SP=1
"신세계V 뷰티
상반기 베스트 어워즈","신세계V 뷰티
상반기 베스트 어워즈",,
~60% 특가 + ~10% 쇼핑백쿠폰 + 디럭스 사은품,~60% 특가 + ~10% 쇼핑백쿠폰 + 디럭스 사은품,,
